City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2022-05-21 04:47:33,41.3712,-73.414,63.91,93,100,3.44
1,Saldanha,ZA,2022-05-21 04:48:05,-33.0117,17.9442,41.05,79,12,7.05
2,Rikitea,PF,2022-05-21 04:47:24,-23.1203,-134.9692,74.28,76,19,7.11
3,Norman Wells,CA,2022-05-21 04:48:05,65.282,-126.8329,55.44,41,75,0.0
4,Jamestown,US,2022-05-21 04:48:06,42.097,-79.2353,75.52,84,0,9.22
5,Salalah,OM,2022-05-21 04:48:06,17.0151,54.0924,86.09,70,75,5.75
6,Tiksi,RU,2022-05-21 04:48:06,71.6872,128.8694,32.9,87,100,5.3
7,Carnarvon,AU,2022-05-21 04:48:07,-24.8667,113.6333,75.33,47,1,5.37
8,Moree,AU,2022-05-21 04:48:07,-29.4667,149.85,58.89,80,100,10.78
9,Vaini,TO,2022-05-21 04:48:07,-21.2,-175.2,77.16,78,75,5.75
10,Rio Cuarto,AR,2022-05-21 04:47:10,-33.1307,-64.3499,50.47,38,100,4.99
11,Port Elizabeth,ZA,2022-05-21 04:48:08,-33.918,25.5701,56.1,99,100,5.75
12,Hilo,US,2022-05-21 04:48:08,19.7297,-155.09,83.28,81,100,6.91
13,New Norfolk,AU,2022-05-21 04:48:08,-42.7826,147.0587,53.1,61,11,1.14
14,Bambous Virieux,MU,2022-05-21 04:48:09,-20.3428,57.7575,78.22,94,75,14.97
15,Tocopilla,CL,2022-05-21 04:48:09,-22.092,-70.1979,64.08,70,53,1.52
16,Te Anau,NZ,2022-05-21 04:48:10,-45.4167,167.7167,43.88,81,98,4.36
17,Souillac,MU,2022-05-21 04:48:10,-20.5167,57.5167,71.98,94,75,14.97
18,Udachnyy,RU,2022-05-21 04:48:10,66.4167,112.4,50.45,53,93,2.91
19,Tuatapere,NZ,2022-05-21 04:48:10,-46.1333,167.6833,45.34,82,99,20.6
20,Kapaa,US,2022-05-21 04:44:52,22.0752,-159.319,78.78,97,100,5.75
21,Thompson,CA,2022-05-21 04:48:11,55.7435,-97.8558,35.76,69,75,3.44
22,Busselton,AU,2022-05-21 04:46:10,-33.65,115.3333,71.22,51,3,6.46
23,Selma,US,2022-05-21 04:48:11,36.5708,-119.6121,73.45,35,1,4.34
24,Ponta Do Sol,PT,2022-05-21 04:48:12,32.6667,-17.1,64.71,81,4,3.24
25,Narsaq,GL,2022-05-21 04:48:12,60.9167,-46.05,37.62,72,7,1.14
26,Mataura,NZ,2022-05-21 04:48:12,-46.1927,168.8643,41.59,90,100,13.96
27,Tasiilaq,GL,2022-05-21 04:48:13,65.6145,-37.6368,33.96,77,11,5.44
28,Ushuaia,AR,2022-05-21 04:43:33,-54.8,-68.3,44.26,76,100,3.44
29,Altay,CN,2022-05-21 04:48:13,47.8667,88.1167,77.94,23,1,4.21
30,Olinda,BR,2022-05-21 04:47:13,-8.0089,-34.8553,74.93,88,40,4.61
31,Tuktoyaktuk,CA,2022-05-21 04:48:13,69.4541,-133.0374,32.0,100,100,6.91
32,Alibag,IN,2022-05-21 04:48:14,18.6411,72.8792,87.87,64,85,12.03
33,Lichinga,MZ,2022-05-21 04:48:14,-13.3128,35.2406,59.09,94,20,10.36
34,Atuona,PF,2022-05-21 04:48:14,-9.8,-139.0333,77.72,68,0,9.31
35,Arraial Do Cabo,BR,2022-05-21 04:48:15,-22.9661,-42.0278,67.33,76,54,11.07
36,Liseleje,DK,2022-05-21 04:48:15,56.0053,11.9483,51.89,81,100,8.99
37,Port Hardy,CA,2022-05-21 04:48:15,50.6996,-127.4199,51.98,76,20,2.3
38,Castro,BR,2022-05-21 04:46:18,-24.7911,-50.0119,41.7,86,0,1.72
39,Saskylakh,RU,2022-05-21 04:48:16,71.9167,114.0833,33.06,100,91,8.3
40,Hermanus,ZA,2022-05-21 04:48:16,-34.4187,19.2345,55.78,74,47,4.59
41,Jaciara,BR,2022-05-21 04:48:16,-15.9653,-54.9683,50.99,67,32,2.06
42,Ullapool,GB,2022-05-21 04:48:17,57.8987,-5.1604,51.35,88,86,12.33
43,Natchez,US,2022-05-21 04:43:39,31.5604,-91.4032,79.02,73,0,11.5
44,Provideniya,RU,2022-05-21 04:48:17,64.3833,-173.3,47.08,58,49,8.86
45,Abu Dhabi,AE,2022-05-21 04:48:17,24.4667,54.3667,84.96,73,0,4.61
46,Mar Del Plata,AR,2022-05-21 04:48:45,-38.0023,-57.5575,55.94,64,0,5.75
47,East London,ZA,2022-05-21 04:49:18,-33.0153,27.9116,58.14,94,75,9.22
48,Bredasdorp,ZA,2022-05-21 04:47:34,-34.5322,20.0403,49.77,84,62,5.21
49,Chicama,PE,2022-05-21 04:49:18,-7.8447,-79.1469,61.34,86,57,4.76
50,Cape Town,ZA,2022-05-21 04:49:19,-33.9258,18.4232,53.91,90,75,5.75
51,Tambun,ID,2022-05-21 04:49:19,-6.2641,107.0712,87.49,82,100,4.61
52,Ribeira Grande,PT,2022-05-21 04:49:19,38.5167,-28.7,63.95,97,100,7.78
53,Yellowknife,CA,2022-05-21 04:49:19,62.456,-114.3525,52.32,37,75,5.75
54,Georgetown,MY,2022-05-21 04:47:21,5.4112,100.3354,91.33,74,20,8.05
55,Vadso,NO,2022-05-21 04:49:20,70.0744,29.7487,40.08,81,100,10.36
56,Lebu,CL,2022-05-21 04:49:20,-37.6167,-73.65,49.55,91,67,6.69
57,Vanavara,RU,2022-05-21 04:49:21,60.34,102.2797,68.32,32,13,7.45
58,Severo-Kurilsk,RU,2022-05-21 04:49:21,50.6789,156.125,42.48,92,100,12.44
59,Blyznyuky,UA,2022-05-21 04:49:21,48.8578,36.5551,58.33,77,99,12.33
60,Qaanaaq,GL,2022-05-21 04:46:11,77.484,-69.3632,13.06,84,98,5.08
61,Puerto Ayora,EC,2022-05-21 04:49:22,-0.7393,-90.3518,72.55,96,21,1.99
62,Takoradi,GH,2022-05-21 04:49:22,4.8845,-1.7554,76.12,94,100,8.52
63,Ramshir,IR,2022-05-21 04:49:22,30.8946,49.4092,89.46,10,0,16.04
64,Aquiraz,BR,2022-05-21 04:49:23,-3.9014,-38.3911,80.69,87,43,1.99
65,Byron Bay,AU,2022-05-21 04:49:23,-28.65,153.6167,60.71,84,100,13.6
66,Balkanabat,TM,2022-05-21 04:47:53,39.5108,54.3671,64.72,47,96,14.18
67,Punta Arenas,CL,2022-05-21 04:49:23,-53.15,-70.9167,39.31,93,100,11.5
68,Alanya,TR,2022-05-21 04:49:24,36.5438,31.9998,62.73,43,0,1.52
69,Paramonga,PE,2022-05-21 04:49:24,-10.6667,-77.8333,64.47,92,85,7.45
70,Popondetta,PG,2022-05-21 04:49:24,-8.7537,148.2534,87.21,57,23,6.31
71,Airai,TL,2022-05-21 04:46:13,-8.9266,125.4092,75.33,48,73,5.44
72,Hobart,AU,2022-05-21 04:45:26,-42.8794,147.3294,53.46,75,20,3.44
73,Fortuna,US,2022-05-21 04:49:25,40.5982,-124.1573,50.94,87,100,8.05
74,Igdir,TR,2022-05-21 04:49:25,39.9237,44.045,51.73,50,20,10.36
75,Kununurra,AU,2022-05-21 04:46:22,-15.7667,128.7333,93.18,27,0,13.8
76,Torbay,CA,2022-05-21 04:49:25,47.6666,-52.7314,40.39,80,0,8.01
77,Pevek,RU,2022-05-21 04:49:26,69.7008,170.3133,33.39,99,91,6.42
78,Presidente Medici,BR,2022-05-21 04:49:26,-11.1753,-61.9014,61.38,72,35,0.2
79,Saint Anthony,US,2022-05-21 04:45:17,45.0205,-93.218,49.62,69,40,20.71
80,Marapanim,BR,2022-05-21 04:49:27,-0.7175,-47.6997,72.81,97,98,3.65
81,Samarai,PG,2022-05-21 04:49:27,-10.6167,150.6667,82.89,73,24,8.46
82,Albany,US,2022-05-21 04:44:31,42.6001,-73.9662,66.63,85,100,1.01
83,Mahebourg,MU,2022-05-21 04:49:27,-20.4081,57.7,78.26,94,75,14.97
84,Bluff,NZ,2022-05-21 04:49:28,-46.6,168.3333,45.12,77,93,31.97
85,Challans,FR,2022-05-21 04:49:28,46.8436,-1.8749,52.0,89,53,7.47
86,Chokurdakh,RU,2022-05-21 04:49:28,70.6333,147.9167,34.84,100,93,4.65
87,Ahipara,NZ,2022-05-21 04:49:29,-35.1667,173.1667,60.28,65,99,14.85
88,Antalaha,MG,2022-05-21 04:49:29,-14.9003,50.2788,76.39,70,32,10.45
89,Maceio,BR,2022-05-21 04:49:29,-9.6658,-35.7353,74.64,94,75,3.44
90,French Harbor,HN,2022-05-21 04:49:29,16.35,-86.4333,84.2,85,75,16.11
91,Southbridge,US,2022-05-21 04:49:30,42.0751,-72.0334,62.85,97,100,1.99
92,Hithadhoo,MV,2022-05-21 04:49:30,-0.6,73.0833,83.07,71,44,8.61
93,Hof,DE,2022-05-21 04:50:30,50.3167,11.9167,54.75,71,40,13.8
94,Lompoc,US,2022-05-21 04:50:31,34.6391,-120.4579,56.01,82,0,3.0
95,Kaitangata,NZ,2022-05-21 04:50:31,-46.2817,169.8464,43.02,81,82,21.79
96,Esperance,AU,2022-05-21 04:50:31,-33.8667,121.9,70.9,51,30,3.74
97,Namibe,AO,2022-05-21 04:50:32,-15.1961,12.1522,64.96,64,49,1.57
98,Mabaruma,GY,2022-05-21 04:50:32,8.2,-59.7833,75.18,81,47,5.06
99,Bengkulu,ID,2022-05-21 04:50:32,-3.8004,102.2655,85.19,63,46,6.26
100,Tunduma,TZ,2022-05-21 04:50:33,-9.3,32.7667,57.13,86,86,2.15
101,Kieta,PG,2022-05-21 04:50:33,-6.2167,155.6333,82.4,76,13,4.25
102,Roi Et,TH,2022-05-21 04:50:33,15.75,103.75,91.24,62,100,13.42
103,Aklavik,CA,2022-05-21 04:50:34,68.2191,-135.0107,37.42,93,94,12.68
104,Sao Filipe,CV,2022-05-21 04:50:34,14.8961,-24.4956,71.47,77,91,9.17
105,Yaring,TH,2022-05-21 04:50:34,6.8662,101.3689,89.67,61,88,12.3
106,Alofi,NU,2022-05-21 04:50:34,-19.0595,-169.9187,80.49,83,22,6.91
107,Ancud,CL,2022-05-21 04:50:35,-41.8697,-73.8203,52.05,91,100,18.75
108,Berlevag,NO,2022-05-21 04:50:35,70.8578,29.0864,40.95,70,100,17.27
109,Iqaluit,CA,2022-05-21 04:47:24,63.7506,-68.5145,28.13,86,100,12.66
110,Nanortalik,GL,2022-05-21 04:50:35,60.1432,-45.2371,37.08,84,12,6.42
111,Sitka,US,2022-05-21 04:50:36,57.0531,-135.33,55.29,71,0,0.0
112,Healdsburg,US,2022-05-21 04:50:36,38.6105,-122.8692,66.69,51,0,0.0
113,Kurmanayevka,RU,2022-05-21 04:50:36,52.5093,52.0675,43.2,79,66,17.92
114,Merced,US,2022-05-21 04:50:37,37.1666,-120.7516,73.63,36,1,10.94
115,Pout,SN,2022-05-21 04:50:37,14.7739,-17.0603,70.56,100,75,4.61
116,Port Macquarie,AU,2022-05-21 04:50:37,-31.4333,152.9167,65.1,71,100,7.85
117,Avarua,CK,2022-05-21 04:47:37,-21.2078,-159.775,78.85,69,75,4.61
118,Kloulklubed,PW,2022-05-21 04:50:38,7.0419,134.2556,83.28,74,95,8.52
119,Maku,IR,2022-05-21 04:50:38,39.2911,44.4521,50.25,41,0,3.74
120,Keti Bandar,PK,2022-05-21 04:50:38,24.1447,67.4497,84.97,75,43,20.2
121,Oranjestad,AW,2022-05-21 04:50:39,12.524,-70.027,80.55,83,40,20.71
122,Sao Joao Da Barra,BR,2022-05-21 04:50:39,-21.6403,-41.0511,61.47,86,0,8.86
123,Severodvinsk,RU,2022-05-21 04:50:39,64.5635,39.8302,33.91,57,11,10.38
124,Necochea,AR,2022-05-21 04:50:40,-38.5473,-58.7368,51.62,57,100,8.9
125,Zlotow,PL,2022-05-21 04:50:40,53.3635,17.0408,53.37,84,93,23.91
126,Cidreira,BR,2022-05-21 04:50:41,-30.1811,-50.2056,52.7,85,4,5.55
127,Decatur,US,2022-05-21 04:48:16,39.8403,-88.9548,80.65,69,100,16.11
128,Sakakah,SA,2022-05-21 04:50:41,29.9697,40.2064,76.57,22,0,19.22
129,Sehithwa,BW,2022-05-21 04:50:41,-20.4667,22.7167,42.03,53,0,5.06
130,Kahului,US,2022-05-21 04:47:08,20.8947,-156.47,86.02,51,40,5.75
131,Islampur,IN,2022-05-21 04:50:42,26.2667,88.2,85.42,64,5,13.4
132,Dikson,RU,2022-05-21 04:50:42,73.5069,80.5464,29.89,86,62,10.65
133,Malanje,AO,2022-05-21 04:50:42,-9.5402,16.341,58.37,96,1,1.86
134,Puerto Escondido,MX,2022-05-21 04:46:17,15.85,-97.0667,80.13,70,39,6.69
135,Placido De Castro,BR,2022-05-21 04:50:43,-10.3353,-67.1856,65.71,76,68,0.94
136,Codrington,AU,2022-05-21 04:50:43,-38.2667,141.9667,58.53,60,5,9.98
137,Santa Rosa,PH,2022-05-21 04:50:43,14.3122,121.1114,88.11,65,78,6.13
138,Port Lincoln,AU,2022-05-21 04:51:44,-34.7333,135.8667,60.48,62,0,12.82
139,Caceres,ES,2022-05-21 04:51:44,39.522,-6.3748,70.48,39,100,8.41
140,Camacha,PT,2022-05-21 04:51:44,33.0833,-16.3333,62.02,77,40,12.66
141,Abu Samrah,SY,2022-05-21 04:51:45,35.3029,37.1841,68.34,24,0,9.08
142,Rio Grande,BR,2022-05-21 04:51:45,-32.035,-52.0986,51.12,84,6,7.87
143,Nikolskoye,RU,2022-05-21 04:51:45,59.7035,30.7861,49.87,52,39,5.66
144,Leningradskiy,RU,2022-05-21 04:51:46,69.3833,178.4167,33.53,96,91,9.42
145,Port Alfred,ZA,2022-05-21 04:51:46,-33.5906,26.891,55.18,95,100,4.34
146,Quijingue,BR,2022-05-21 04:51:46,-10.7525,-39.2092,67.89,77,100,2.8
147,Novyye Burasy,RU,2022-05-21 04:51:47,52.1324,46.0714,44.06,58,1,15.46
148,Boueni,YT,2022-05-21 04:51:47,-12.9025,45.0761,80.58,72,51,11.88
149,Rawson,AR,2022-05-21 04:50:49,-43.3002,-65.1023,53.47,54,1,11.88
150,Puro,PH,2022-05-21 04:51:47,12.4841,123.3827,85.57,68,99,5.01
151,Nome,US,2022-05-21 04:51:48,64.5011,-165.4064,65.16,34,0,16.11
152,Marzuq,YE,2022-05-21 04:51:48,14.4,46.4667,85.89,15,37,1.79
153,Barrow,US,2022-05-21 04:51:48,71.2906,-156.7887,30.22,86,100,11.5
154,Faanui,PF,2022-05-21 04:51:49,-16.4833,-151.75,80.31,72,19,8.88
155,Storsteinnes,NO,2022-05-21 04:51:49,69.2408,19.2344,41.65,93,100,3.04
156,Santa Fe,AR,2022-05-21 04:49:54,-31.6333,-60.7,56.01,84,38,4.0
157,Bell Ville,AR,2022-05-21 04:51:49,-32.6259,-62.6887,50.67,55,99,5.48
158,Chuy,UY,2022-05-21 04:51:09,-33.6971,-53.4616,46.94,89,42,6.6
159,Fairbanks,US,2022-05-21 04:50:02,64.8378,-147.7164,73.6,29,0,0.0
160,Opuwo,NA,2022-05-21 04:51:50,-18.0607,13.84,49.35,27,0,7.14
161,Hasaki,JP,2022-05-21 04:51:50,35.7333,140.8333,70.2,68,100,11.59
162,Clyde River,CA,2022-05-21 04:51:51,70.4692,-68.5914,21.43,86,100,4.61
163,Marmande,FR,2022-05-21 04:50:42,44.5,0.1667,59.31,92,63,3.27
164,Khasan,RU,2022-05-21 04:51:51,42.4308,130.6434,59.65,78,60,4.92
165,Lavrentiya,RU,2022-05-21 04:51:51,65.5833,-171.0,36.21,87,50,7.65
166,La Palma,US,2022-05-21 04:51:52,33.8464,-118.0467,64.81,81,100,4.61
167,Tshikapa,CD,2022-05-21 04:51:52,-6.4167,20.8,72.37,82,100,1.48
168,Longyearbyen,SJ,2022-05-21 04:51:52,78.2186,15.6401,35.44,75,75,9.22
169,Auki,SB,2022-05-21 04:51:53,-8.7676,160.7034,81.46,81,97,3.51
170,Tripoli,LY,2022-05-21 04:51:53,32.8752,13.1875,63.19,59,0,7.45
171,Cap Malheureux,MU,2022-05-21 04:51:53,-19.9842,57.6142,78.48,68,54,7.0
172,Guye,CN,2022-05-21 04:51:54,39.7333,118.4167,94.64,15,0,15.08
173,Cobija,BO,2022-05-21 04:51:54,-11.0267,-68.7692,65.16,80,76,1.79
174,Bowen,AU,2022-05-21 04:51:54,-20.0167,148.2333,77.27,71,35,8.79
175,Bud,US,2022-05-21 04:51:54,39.447,-86.1758,78.75,74,20,13.42
176,Itaituba,BR,2022-05-21 04:51:55,-4.2761,-55.9836,69.82,93,60,0.18
177,Dali,CN,2022-05-21 04:51:55,25.7,100.1833,74.61,49,71,2.95
178,Cortes,ES,2022-05-21 04:51:55,41.9395,-1.4396,65.48,48,88,6.71
179,Burns Lake,CA,2022-05-21 04:51:56,54.2331,-125.7533,47.62,93,75,3.4
180,Lenggries,DE,2022-05-21 04:51:56,47.6833,11.5667,60.13,98,100,4.32
181,Novo Aripuana,BR,2022-05-21 04:52:56,-5.1206,-60.3797,68.74,84,61,0.87
182,Meulaboh,ID,2022-05-21 04:52:57,4.1363,96.1285,85.24,68,100,4.79
183,Praya,CV,2022-05-21 04:50:10,14.9215,-23.5087,70.34,73,20,14.97
184,Jaen,ES,2022-05-21 04:52:57,38.0,-3.5,76.26,30,97,9.91
185,Sernur,RU,2022-05-21 04:52:58,56.9333,49.1536,35.17,92,99,12.1
186,Northam,GB,2022-05-21 04:52:58,51.0333,-4.2167,51.66,94,96,6.96
187,Dembi Dolo,ET,2022-05-21 04:52:58,8.5333,34.8,63.43,83,60,1.66
188,Vardo,NO,2022-05-21 04:52:59,70.3705,31.1107,35.58,87,100,20.71
189,Cabo San Lucas,MX,2022-05-21 04:52:59,22.8909,-109.9124,72.61,71,2,5.99
190,Zyryanka,RU,2022-05-21 04:52:59,65.75,150.85,57.06,34,98,15.35
191,Flinders,AU,2022-05-21 04:52:59,-34.5833,150.8552,63.25,84,82,7.0
192,Havelock,US,2022-05-21 04:53:00,34.8791,-76.9013,78.78,95,17,10.0
193,Rabo De Peixe,PT,2022-05-21 04:53:00,37.8,-25.5833,65.28,88,75,5.75
194,Beboto,TD,2022-05-21 04:53:01,8.2668,16.939,72.12,83,100,3.96
195,Sioux Falls,US,2022-05-21 04:53:01,43.55,-96.7003,48.06,67,75,16.11
196,Tukrah,LY,2022-05-21 04:53:01,32.5341,20.5791,64.58,74,1,9.8
197,Gornopravdinsk,RU,2022-05-21 04:53:02,60.05,69.9,42.89,67,95,10.0
198,Abonnema,NG,2022-05-21 04:53:02,4.7084,6.7931,77.11,90,100,5.01
199,Margate,GB,2022-05-21 04:53:03,51.3813,1.3862,52.3,89,79,3.0
200,Angoche,MZ,2022-05-21 04:53:03,-16.2325,39.9086,73.18,86,25,4.36
201,Bulqize,AL,2022-05-21 04:53:04,41.4917,20.2219,46.72,61,6,3.18
202,Cherskiy,RU,2022-05-21 04:53:04,68.75,161.3,58.86,36,48,13.18
203,Noumea,NC,2022-05-21 04:52:55,-22.2763,166.4572,78.01,99,99,19.13
204,Ixtapa,MX,2022-05-21 04:53:04,20.7,-105.2,70.2,77,1,2.01
205,Talnakh,RU,2022-05-21 04:50:09,69.4865,88.3972,43.21,92,97,7.94
206,Araouane,ML,2022-05-21 04:53:05,18.9048,-3.5265,86.85,15,53,8.63
207,Kalpi,IN,2022-05-21 04:53:05,26.1167,79.7333,105.75,14,79,6.96
208,Vila Franca Do Campo,PT,2022-05-21 04:53:06,37.7167,-25.4333,66.2,90,100,4.81
209,Pacifica,US,2022-05-21 04:48:25,37.6138,-122.4869,63.68,73,20,18.41
210,Khandbari,NP,2022-05-21 04:53:06,27.3747,87.2039,79.0,52,83,3.29
211,Lagoa,PT,2022-05-21 04:53:07,39.05,-27.9833,62.04,97,100,10.56
212,Nouadhibou,MR,2022-05-21 04:53:07,20.931,-17.0347,66.18,94,23,17.27
213,Solnechnyy,RU,2022-05-21 04:53:07,50.7214,136.6319,44.26,96,100,5.86
214,Vila Velha,BR,2022-05-21 04:53:08,-20.3297,-40.2925,62.55,88,20,4.61
215,Taoudenni,ML,2022-05-21 04:53:08,22.6783,-3.9836,87.67,10,8,10.67
216,Mayo,US,2022-05-21 04:53:09,38.8876,-76.5119,84.61,67,0,6.91
217,Pisco,PE,2022-05-21 04:53:09,-13.7,-76.2167,64.02,88,20,2.3
218,Katsuura,JP,2022-05-21 04:53:10,35.1333,140.3,64.08,80,100,7.47
219,Green Valley,US,2022-05-21 04:53:03,31.8543,-110.9937,79.75,35,0,17.45
220,Leeton,AU,2022-05-21 04:53:11,-34.5667,146.4,66.88,46,99,11.3
221,Dingle,PH,2022-05-21 04:53:11,10.9995,122.6711,83.79,71,96,6.33
222,Hambantota,LK,2022-05-21 04:53:12,6.1241,81.1185,86.34,79,40,14.97
223,Qasigiannguit,GL,2022-05-21 04:53:12,68.8193,-51.1922,26.1,79,100,5.68
224,Namatanai,PG,2022-05-21 04:53:13,-3.6667,152.4333,84.58,69,54,8.5
225,Jumla,NP,2022-05-21 04:53:13,29.2747,82.1838,72.28,28,3,6.8
226,Benguela,AO,2022-05-21 04:53:14,-12.5763,13.4055,68.05,77,53,5.91
227,Touros,BR,2022-05-21 04:54:14,-5.1989,-35.4608,75.92,90,85,7.52
228,Richards Bay,ZA,2022-05-21 04:54:15,-28.783,32.0377,65.25,89,99,9.15
229,Diego De Almagro,CL,2022-05-21 04:54:15,-26.3667,-70.05,56.88,40,49,1.9
230,Acapulco,MX,2022-05-21 04:49:44,16.8634,-99.8901,78.21,70,84,5.73
231,Bone,DE,2022-05-21 04:54:16,51.9669,12.1396,56.28,76,78,14.38
232,Butaritari,KI,2022-05-21 04:54:18,3.0707,172.7902,81.64,72,42,9.48
233,Port-Gentil,GA,2022-05-21 04:54:18,-0.7193,8.7815,77.49,86,100,11.63
234,The Valley,AI,2022-05-21 04:54:19,18.217,-63.0578,80.46,77,28,16.6
235,Erenhot,CN,2022-05-21 04:53:12,43.6475,111.9767,83.64,11,52,7.74
236,Marrakesh,MA,2022-05-21 04:53:51,31.6315,-8.0083,66.27,77,40,6.91
237,Sozimskiy,RU,2022-05-21 04:54:19,59.7418,52.2482,35.4,98,100,7.23
238,Bend,US,2022-05-21 04:50:03,44.0582,-121.3153,47.86,63,0,6.91
239,Zdvinsk,RU,2022-05-21 04:54:20,54.7021,78.661,70.14,42,98,11.07
240,Laguna,US,2022-05-21 04:52:35,38.421,-121.4238,75.49,21,0,12.66
241,Alvand,IR,2022-05-21 04:54:20,36.3187,49.1678,43.0,82,77,8.37
242,Ketchikan,US,2022-05-21 04:54:21,55.3422,-131.6461,60.78,61,8,3.98
243,Vadlapudi,IN,2022-05-21 04:54:21,14.3167,79.8,93.31,42,65,18.7
244,San Jose,US,2022-05-21 04:53:10,37.3394,-121.895,62.58,50,0,0.0
245,Gabu,GW,2022-05-21 04:54:22,12.2833,-14.2167,74.61,86,25,7.27
246,Cabedelo,BR,2022-05-21 04:54:22,-6.9811,-34.8339,75.87,87,80,8.93
247,Kendari,ID,2022-05-21 04:54:22,-3.945,122.4989,85.84,65,66,5.73
248,Krasnyy Chikoy,RU,2022-05-21 04:54:23,50.3643,108.7512,82.06,20,6,2.15
249,Butembo,CD,2022-05-21 04:54:23,0.15,29.2833,59.25,92,100,1.77
250,Vacaria,BR,2022-05-21 04:54:23,-28.5122,-50.9339,38.25,91,0,4.23
251,Coihueco,CL,2022-05-21 04:53:25,-36.6167,-71.8333,38.14,100,5,0.0
252,Buala,SB,2022-05-21 04:54:24,-8.145,159.5921,83.34,69,75,3.74
253,Zeya,RU,2022-05-21 04:54:24,53.75,127.2667,60.19,41,89,6.4
254,Kharp,RU,2022-05-21 04:54:25,66.8014,65.8081,42.08,48,100,8.9
255,Ugoofaaru,MV,2022-05-21 04:54:25,5.6667,73.0,83.48,76,49,15.9
256,Kaeo,NZ,2022-05-21 04:50:09,-35.1,173.7833,60.33,72,76,10.18
257,Gryazi,RU,2022-05-21 04:54:25,52.4966,39.9359,47.43,53,100,6.76
258,Dubbo,AU,2022-05-21 04:53:44,-32.25,148.6167,66.33,52,40,17.27
259,Chernihiv,UA,2022-05-21 04:54:26,51.0,32.0,61.02,91,100,12.03
260,Cockburn Town,TC,2022-05-21 04:54:26,21.4612,-71.1419,79.75,82,67,16.84
261,Avera,US,2022-05-21 04:54:26,33.194,-82.5271,78.55,61,83,11.72
262,Tambacounda,SN,2022-05-21 04:54:27,13.7539,-13.7586,86.05,58,0,11.5
263,Asau,RO,2022-05-21 04:54:27,46.4333,26.4,58.28,61,12,6.69
264,Tricase,IT,2022-05-21 04:54:27,39.9304,18.3553,58.32,52,10,9.71
265,Sao Gabriel Da Cachoeira,BR,2022-05-21 04:54:27,-0.1303,-67.0892,68.27,99,88,0.69
266,East Foothills,US,2022-05-21 04:54:28,37.3811,-121.8175,61.57,48,4,1.9
267,Starobaltachevo,RU,2022-05-21 04:54:28,56.0013,55.9213,44.53,74,100,10.31
268,Gewane,ET,2022-05-21 04:54:28,10.1664,40.6453,89.17,17,92,1.45
269,Broome,US,2022-05-21 04:54:29,42.2506,-75.833,67.62,85,99,5.01
270,Sinnamary,GF,2022-05-21 04:54:29,5.3833,-52.95,74.62,93,100,10.42
271,Tahoua,NE,2022-05-21 04:54:29,14.8888,5.2692,86.83,29,88,8.5
272,Boyabat,TR,2022-05-21 04:54:30,41.4689,34.7667,56.1,66,0,1.86
273,Sur,OM,2022-05-21 04:55:30,22.5667,59.5289,96.49,38,3,3.13
274,Isangel,VU,2022-05-21 04:52:47,-19.55,169.2667,79.38,85,17,20.36
275,Panguna,PG,2022-05-21 04:55:30,-6.3164,155.4848,76.59,79,37,2.24
276,Sidi Ali,DZ,2022-05-21 04:55:31,36.0998,0.4206,74.25,39,16,4.61
277,Guerrero Negro,MX,2022-05-21 04:55:31,27.9769,-114.0611,62.71,80,0,10.78
